narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_102_77,P01,P01_102,00:03:13.601,00:03:11.00,00:03:12.18,9550,9609,wipe sink,wipe,2,sink,63,['sink'],[63]
P01_102_78,P01,P01_102,00:03:14.600,00:03:12.42,00:03:13.23,9621,9661,rinse cloth,rinse,2,cloth,17,['cloth'],[17]
P01_102_79,P01,P01_102,00:03:15.600,00:03:13.05,00:03:13.99,9652,9699,wipe sink,wipe,2,sink,63,['sink'],[63]
P01_102_8,P01,P01_102,00:00:17.100,00:00:16.95,00:00:29.36,847,1468,wash spatula,wash,2,spatula,20,['spatula'],[20]
P01_102_80,P01,P01_102,00:03:16.602,00:03:16.23,00:03:16.73,9811,9836,take sponge,take,0,sponge,9,['sponge'],[9]
P01_102_81,P01,P01_102,00:03:17.350,00:03:16.74,00:03:18.48,9837,9924,rinse sponge,rinse,2,sponge,9,['sponge'],[9]
P01_102_82,P01,P01_102,00:03:18.600,00:03:18.55,00:03:19.33,9927,9966,put down sponge,put-down,1,sponge,9,['sponge'],[9]
P01_102_83,P01,P01_102,00:03:19.100,00:03:19.10,00:03:20.49,9955,10024,rinse cloth,rinse,2,cloth,17,['cloth'],[17]
P01_102_84,P01,P01_102,00:03:20.350,00:03:20.55,00:03:21.60,10027,10080,adjust tap,adjust,17,tap,0,['tap'],[0]
P01_102_85,P01,P01_102,00:03:21.600,00:03:21.22,00:03:22.06,10061,10103,turn off tap,turn-off,8,tap,0,['tap'],[0]
P01_102_86,P01,P01_102,00:03:23.850,00:03:23.69,00:03:25.06,10184,10253,wipe surface,wipe,2,surface,42,['surface'],[42]
P01_102_87,P01,P01_102,00:03:25.351,00:03:25.05,00:03:26.51,10252,10325,take food,take,0,food,34,['food'],[34]
P01_102_88,P01,P01_102,00:03:27.100,00:03:26.92,00:03:27.78,10346,10389,put down food,put-down,1,food,34,['food'],[34]
P01_102_89,P01,P01_102,00:03:29.351,00:03:28.65,00:03:30.63,10432,10531,take fork,take,0,fork,14,['fork'],[14]
P01_102_9,P01,P01_102,00:00:29.600,00:00:29.46,00:00:30.18,1473,1509,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_102_90,P01,P01_102,00:03:31.850,00:03:30.83,00:03:34.30,10541,10715,put down fork,put-down,1,fork,14,['fork'],[14]
P01_102_91,P01,P01_102,00:03:33.851,00:03:34.24,00:03:36.03,10712,10801,take food and fork,take,0,food,34,"['food', 'fork']","[34, 14]"
P01_102_92,P01,P01_102,00:03:36.100,00:03:35.87,00:03:36.49,10793,10824,put down food and fork,put-down,1,food,34,"['food', 'fork']","[34, 14]"
P01_102_93,P01,P01_102,00:03:37.350,00:03:36.99,00:03:38.62,10849,10931,take pot holder,take,0,holder:pot,24,['holder:pot'],[24]
P01_102_94,P01,P01_102,00:03:39.350,00:03:39.06,00:03:39.68,10953,10984,put down pot holder,put-down,1,holder:pot,24,['holder:pot'],[24]
P01_102_95,P01,P01_102,00:03:40.850,00:03:40.75,00:03:41.45,11037,11072,take cloth,take,0,cloth,17,['cloth'],[17]
P01_102_96,P01,P01_102,00:03:41.350,00:03:41.38,00:03:49.24,11069,11462,wipe surface,wipe,2,surface,42,['surface'],[42]
P01_102_97,P01,P01_102,00:03:42.350,00:03:41.71,00:03:42.70,11085,11135,move container while wiping surface,move,11,container,21,"['container', 'surface:wiping']","[21, 42]"
P01_102_98,P01,P01_102,00:03:43.100,00:03:42.80,00:03:43.45,11140,11172,put down container,put-down,1,container,21,['container'],[21]
P01_102_99,P01,P01_102,00:03:43.600,00:03:43.55,00:03:44.95,11177,11247,wipe surface,wipe,2,surface,42,['surface'],[42]
P01_103_0,P01,P01_103,00:00:02.103,00:00:01.43,00:00:04.83,71,241,close door,close,4,door,3,['door'],[3]
P01_103_1,P01,P01_103,00:00:07.615,00:00:07.34,00:00:08.75,367,437,pick up plate,pick-up,0,plate,2,['plate'],[2]
P01_103_10,P01,P01_103,00:00:21.352,00:00:20.71,00:00:21.90,1035,1095,put wok into cupboard,put-into,5,cupboard,3,['cupboard'],[3]
P01_103_11,P01,P01_103,00:00:22.107,00:00:21.71,00:00:22.78,1085,1139,put pans onto cupboard,put-onto,1,pan,5,"['pan', 'cupboard']","[5, 3]"
P01_103_12,P01,P01_103,00:00:23.353,00:00:22.82,00:00:24.99,1141,1249,close cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_103_13,P01,P01_103,00:00:25.600,00:00:25.04,00:00:26.62,1252,1331,pick up cutting board,pick-up,0,board:cutting,18,['board:cutting'],[18]
P01_103_14,P01,P01_103,00:00:28.606,00:00:28.10,00:00:29.63,1405,1481,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_103_15,P01,P01_103,00:00:30.100,00:00:29.45,00:00:31.76,1472,1588,put cutting board into cupboard,put,1,board:cutting,18,"['board:cutting', 'cupboard']","[18, 3]"
P01_103_16,P01,P01_103,00:00:34.600,00:00:33.96,00:00:35.21,1698,1760,pick up cup,pick-up,0,cup,13,['cup'],[13]
P01_103_17,P01,P01_103,00:00:35.350,00:00:35.28,00:00:36.14,1764,1807,put down cup,put-down,1,cup,13,['cup'],[13]
P01_103_18,P01,P01_103,00:00:36.850,00:00:36.69,00:00:37.53,1834,1876,take spatula,take,0,spatula,20,['spatula'],[20]
P01_103_19,P01,P01_103,00:00:38.351,00:00:37.94,00:00:38.53,1897,1926,take knife,take,0,knife,4,['knife'],[4]
P01_103_2,P01,P01_103,00:00:09.850,00:00:09.09,00:00:10.00,454,500,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_103_20,P01,P01_103,00:00:39.359,00:00:38.63,00:00:39.50,1931,1975,attach knife onto magnetic holder,attach-onto,64,knife,4,"['knife', 'holder:magnetic']","[4, 135]"
P01_103_21,P01,P01_103,00:00:40.100,00:00:39.42,00:00:40.58,1971,2029,pick up knife,pick-up,0,knife,4,['knife'],[4]
P01_103_22,P01,P01_103,00:00:41.101,00:00:40.55,00:00:41.59,2027,2079,attach knife onto magnetic holder,attach-onto,64,knife,4,"['knife', 'holder:magnetic']","[4, 135]"
P01_103_23,P01,P01_103,00:00:43.350,00:00:42.03,00:00:43.85,2101,2192,pick up cutlery,pick-up,0,cutlery,58,['cutlery'],[58]
P01_103_24,P01,P01_103,00:00:44.850,00:00:44.51,00:00:45.48,2225,2274,open drawer,open,3,drawer,8,['drawer'],[8]
P01_103_25,P01,P01_103,00:00:46.100,00:00:45.52,00:00:46.70,2276,2335,put spatula into drawer,put-into,5,spatula,20,"['spatula', 'drawer']","[20, 8]"
P01_103_26,P01,P01_103,00:00:46.850,00:00:46.87,00:00:47.60,2343,2380,move cutlery tray,move,11,tray:cutlery,35,['tray:cutlery'],[35]
P01_103_27,P01,P01_103,00:00:48.102,00:00:47.55,00:00:48.57,2377,2428,put down peeler,put-down,1,peeler,87,['peeler'],[87]
P01_103_28,P01,P01_103,00:00:48.850,00:00:48.54,00:00:49.35,2427,2467,put down knife,put-down,1,knife,4,['knife'],[4]
P01_103_29,P01,P01_103,00:00:49.600,00:00:49.36,00:00:50.03,2468,2501,put down fork,put-down,1,fork,14,['fork'],[14]
P01_103_3,P01,P01_103,00:00:10.600,00:00:10.48,00:00:11.95,524,597,put plate into cupboard,put-into,5,plate,2,"['plate', 'cupboard']","[2, 3]"
P01_103_30,P01,P01_103,00:00:50.351,00:00:50.31,00:00:50.89,2515,2544,close drawer,close,4,drawer,8,['drawer'],[8]
P01_103_31,P01,P01_103,00:00:52.351,00:00:51.81,00:00:52.91,2590,2645,move colander,move,11,colander,39,['colander'],[39]
P01_103_32,P01,P01_103,00:00:53.350,00:00:53.06,00:00:54.01,2653,2700,pick up cafetiere,pick-up,0,cafetiere,50,['cafetiere'],[50]
P01_103_33,P01,P01_103,00:00:54.350,00:00:54.11,00:00:54.86,2705,2743,pick up cafetiere plunger,pick-up,0,cafetiere,50,['cafetiere'],[50]
P01_103_34,P01,P01_103,00:00:55.350,00:00:54.94,00:00:56.14,2747,2807,put cafetiere plunger into cafetiere,put-into,5,cafetiere,50,['cafetiere'],[50]
P01_103_35,P01,P01_103,00:00:58.600,00:00:58.59,00:00:59.01,2929,2950,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_103_36,P01,P01_103,00:00:59.350,00:00:59.11,00:01:00.51,2955,3025,put cafetiere into cupboard,put-into,5,cafetiere,50,"['cafetiere', 'cupboard']","[50, 3]"
P01_103_37,P01,P01_103,00:01:00.850,00:01:00.47,00:01:01.11,3023,3055,close cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_103_38,P01,P01_103,00:01:02.615,00:01:00.72,00:01:03.90,3036,3195,close cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_103_39,P01,P01_103,00:01:06.350,00:01:05.98,00:01:07.43,3299,3371,pick up spoon,pick-up,0,spoon,1,['spoon'],[1]
P01_103_4,P01,P01_103,00:00:11.850,00:00:12.00,00:00:12.83,600,641,close cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_103_40,P01,P01_103,00:01:07.351,00:01:07.26,00:01:07.80,3363,3390,put down spoon,put-down,1,spoon,1,['spoon'],[1]
P01_103_41,P01,P01_103,00:01:09.100,00:01:08.64,00:01:09.63,3432,3481,open rice cooker,open,3,cooker:rice,152,['cooker:rice'],[152]
P01_103_42,P01,P01_103,00:01:09.850,00:01:09.82,00:01:11.06,3490,3553,take rice cooker,take,0,cooker:rice,152,['cooker:rice'],[152]
P01_103_43,P01,P01_103,00:01:11.350,00:01:11.05,00:01:12.35,3552,3617,close rice cooker,close,4,cooker:rice,152,['cooker:rice'],[152]
P01_103_44,P01,P01_103,00:01:12.601,00:01:12.36,00:01:12.91,3618,3645,put down rice cooker pot,put-down,1,pot:rice:cooker,29,['pot:rice:cooker'],[29]
P01_103_45,P01,P01_103,00:01:12.602,00:01:12.97,00:01:13.99,3648,3699,turn on tap,turn-on,6,tap,0,['tap'],[0]
P01_103_46,P01,P01_103,00:01:14.101,00:01:14.00,00:01:21.02,3700,4051,rinse pot,rinse,2,pot,29,['pot'],[29]
P01_103_47,P01,P01_103,00:01:21.350,00:01:20.97,00:01:21.71,4048,4085,turn off tap,turn-off,8,tap,0,['tap'],[0]
P01_103_48,P01,P01_103,00:01:22.601,00:01:22.25,00:01:23.03,4112,4151,pick up colander,pick-up,0,colander,39,['colander'],[39]
P01_103_49,P01,P01_103,00:01:24.350,00:01:24.03,00:01:25.05,4201,4252,put down colander,put-down,1,colander,39,['colander'],[39]
P01_103_5,P01,P01_103,00:00:13.351,00:00:13.01,00:00:14.65,650,732,pick up wok,pick-up,0,wok,5,['wok'],[5]
P01_103_50,P01,P01_103,00:01:26.600,00:01:26.50,00:01:26.81,4325,4340,pick up cup,pick-up,0,cup,13,['cup'],[13]
P01_103_51,P01,P01_103,00:01:27.600,00:01:27.29,00:01:27.79,4364,4389,put down cup,put-down,1,cup,13,['cup'],[13]
P01_103_52,P01,P01_103,00:01:28.350,00:01:28.24,00:01:28.90,4412,4445,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_103_53,P01,P01_103,00:01:29.850,00:01:29.50,00:01:30.39,4475,4519,pick up cereals,pick-up,0,cereal,99,['cereal'],[99]
P01_103_54,P01,P01_103,00:01:30.601,00:01:30.41,00:01:30.91,4520,4545,close cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_103_55,P01,P01_103,00:01:31.600,00:01:31.36,00:01:32.71,4568,4635,open cereal box,open,3,box:cereal,23,['box:cereal'],[23]
P01_103_56,P01,P01_103,00:01:32.102,00:01:32.16,00:01:32.49,4608,4624,put down cereal,put-down,1,cereal,99,['cereal'],[99]
P01_103_57,P01,P01_103,00:01:33.350,00:01:33.22,00:01:34.29,4661,4714,take cereal bag,take,0,bag:cereal,19,['bag:cereal'],[19]
P01_103_58,P01,P01_103,00:01:34.356,00:01:33.89,00:01:34.34,4694,4717,move cereal box,move,11,box:cereal,23,['box:cereal'],[23]
P01_103_59,P01,P01_103,00:01:35.850,00:01:34.89,00:01:38.09,4744,4904,open cereal bag,open,3,bag:cereal,19,['bag:cereal'],[19]
P01_103_6,P01,P01_103,00:00:16.100,00:00:16.17,00:00:17.30,808,865,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_103_60,P01,P01_103,00:01:39.100,00:01:38.48,00:01:47.83,4923,5391,pour cereals into cup,pour-into,9,cereal,99,"['cereal', 'cup']","[99, 13]"
P01_103_61,P01,P01_103,00:01:49.358,00:01:48.88,00:01:49.48,5444,5473,pick up nuts,pick-up,0,nut,133,['nut'],[133]
P01_103_62,P01,P01_103,00:01:49.600,00:01:49.49,00:01:49.79,5474,5489,put down nuts,put-down,1,nut,133,['nut'],[133]
P01_103_63,P01,P01_103,00:01:51.350,00:01:50.38,00:01:56.97,5519,5848,fold cereal bag,fold,28,bag:cereal,19,['bag:cereal'],[19]
P01_103_64,P01,P01_103,00:01:57.350,00:01:57.01,00:01:58.61,5850,5930,put cereal bag into box,put-into,5,bag:cereal,19,"['bag:cereal', 'box']","[19, 23]"
